"filename", "language", "Markdown", "JSON", "JSON with Comments", "HTML", "TypeScript", "vue", "SCSS", "JavaScript", "YAML", "comment", "blank", "total"
"e:\Code\WhatsPPT\src\components\Divider.vue", "vue", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"e:\Code\WhatsPPT\src\components\Drawer.vue", "vue", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 11, 126
"e:\Code\WhatsPPT\src\components\FileInput.vue", "vue", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"e:\Code\WhatsPPT\src\components\FullscreenSpin.vue", "vue", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 3, 71
"e:\Code\WhatsPPT\src\components\GradientBar.vue", "vue", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 25, 149
"e:\Code\WhatsPPT\src\components\Input.vue", "vue", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 15, 136
"e:\Code\WhatsPPT\src\components\LaTeXEditor\FormulaContent.vue", "vue", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 7, 57
"e:\Code\WhatsPPT\src\components\LaTeXEditor\SymbolContent.vue", "vue", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"e:\Code\WhatsPPT\src\components\LaTeXEditor\hfmath.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"e:\Code\WhatsPPT\src\components\LaTeXEditor\index.vue", "vue", 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 24, 265
"e:\Code\WhatsPPT\src\components\Message.vue", "vue", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 16, 182
"e:\Code\WhatsPPT\src\components\Modal.vue", "vue", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 18, 154
"e:\Code\WhatsPPT\src\components\MoveablePanel.vue", "vue", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 33, 220
